form	lemma	POS	morph
བྱཿ་		NON_WORD
།		PUNCT
བཀའགུ་		NON_WORD
།་།།		PUNCT
ཤཱ་	ཤཱ་	NO_POS
ཆི་	ཆི་	NO_POS
།		PUNCT
ཧཱ་		NON_WORD
སྦྱ་		NON_WORD
		
ཤཱ་	ཤཱ་	NO_POS
		
འཿ་		NON_WORD
ཅུ༷༷ང་		NON_WORD
		
ཇིབ་		NON_WORD
ཇིང་		NON_WORD
		
		
		
བཅི་		NON_WORD
ཁོ་	ཁོ་	PRON
ཞུག༷་		NON_WORD
		
ཡོཁོག་		NON_WORD
༄		PUNCT
		
། །		PUNCT
སྙན་	སྙན་	NOUN
དགོན་	དགོན་	OTHER
སྤྲུལ་སྐུ་	སྤྲུལ་སྐུ་	NOUN
གསུང་རབ་	གསུང་རབ་	NOUN
མདོ་སྔགས་	མདོ་སྔགས་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
གསུང་འབུམ་	གསུང་འབུམ་	NOUN
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
ནོར་	ནོར་	NOUN
སྣ་	སྣ་	NOUN
འི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
མགོ་ལོག་	མགོ་ལོག་	OTHER
ཁུལ་	ཁུལ་	NO_POS
གནའ་	གནའ་	NO_POS
རྩོམ་	རྩོམ་	VERB
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
གཞུང་ལས་	གཞུང་ལས་	NO_POS
ཁང་	ཁང་	NOUN
གིས་	གིས་	PART
འཚོལ་	འཚོལ་	VERB
སྡུད་	སྡུད་	VERB
དག་	དག་	DET
སྒྲིག་	སྒྲིག་	VERB
བྱ་	བྱ་	VERB
།		PUNCT
སི་	སི་	OTHER
ཁྲོན་	ཁྲོན་	NO_POS
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
ཚོགས་པ་	ཚོགས་པ་	VERB
།		PUNCT
སི་	སི་	OTHER
